GEOID,category,name,rating,lat,lon
551010009012,school,Racine Unified School District,0.0,42.7014380693436,-87.8297086805105
551010009012,school,Racine Unified School District,0.0,42.71004,-87.81247
551010009012,school,Spectrum School of the Arts,0.0,42.7044949,-87.7867335
551010009012,school,Schools-Public Unified,0.0,42.71373,-87.83768
551010009012,bank,Tri City National Bank,0.0,42.699122108445366,-87.82636315054572
551010009012,bank,Landmark Credit Union,2.3,42.706961,-87.816902
551010009012,bank,Bank of Elmwood,0.0,42.69908,-87.82657
551010009012,bank,Racine Municipal Employee's Credit Union,5.0,42.70729,-87.82572
551010009012,bank,Tri City National Bank,0.0,42.6966918,-87.8292674
551010009012,hair,Blue Dove Salon & Day Spa,4.8,42.705217,-87.826609
551010009012,hair,Magic Scissors Beauty Studio,5.0,42.7042749,-87.8238383
551010009012,hair,Cut The Crap,3.7,42.696641,-87.81202
551010009012,hair,Walgreens,1.0,42.6961730477402,-87.8253494203091
551010009012,hair,Hair Emporium,0.0,42.7009315490723,-87.8263320922852
551010009012,gym,Harbor Park Crossfit,5.0,42.700099,-87.824963
551010009012,gym,Blue River CrossFit,0.0,42.70024,-87.82501
551010009012,gym,Studio YOUniverse,0.0,42.700191,-87.824963
551010009012,gym,ActiveBody Fitness,0.0,42.7276,-87.78464
551010009012,gym,Taoist Tai Chi Society,5.0,42.70759,-87.79576
551010009012,coffee,O&H Danish Bakery,4.3,42.6972618103027,-87.8275451660156
551010009012,coffee,Dairy Queen Ltd Brazier,2.0,42.6971557410116,-87.8268677
551010009012,coffee,Dynasty Family Restaurant,3.3,42.70087,-87.82557
551010009012,coffee,Martha's Pancake House Cafe,4.0,42.697611738442006,-87.81687803081991
551010009012,coffee,McDonald's,1.1,42.7037452,-87.8263411
551010009012,daycare,Motherland Learning Childcare,5.0,42.712299011554066,-87.80694035175821
551010009012,daycare,Tmi,0.0,42.7022933959961,-87.8268280029297
551010009012,daycare,Patrice's Daycare,0.0,42.71057,-87.82031
551010009012,daycare,Adventureland  Daycare  Center,0.0,42.71071,-87.78837
551010009012,daycare,Xcite,0.0,42.7076644897461,-87.8115539550781
551010009012,laundry,Velvet Touch Laundromat,2.8,42.70475,-87.8258351
551010009012,laundry,Blue Kangaroo Coin Laundry,2.3,42.695691,-87.8270283
551010009012,laundry,Quickclean Laundromat,5.0,42.70758,-87.80799
551010009012,laundry,Martinizing Dry Cleaning,1.0,42.6964950561523,-87.8130340576172
551010009012,laundry,L L Laundry,0.0,42.69599,-87.80734
551010009031,grocery,Piggly Wiggly Super Markets,2.8,42.694868,-87.828085
551010009031,grocery,Dollar General,0.0,42.696096,-87.829216
551010009031,grocery,Georgetown Village Market,1.0,42.6887283325195,-87.8362808227539
